question: Q1;     answer: true;    weightage: 5
question: Q2;     answer: false;    weightage: 10
question: Q3;     answer: true;    weightage: 9
question: Q4;     answer: true;    weightage: 5
question: Q5;     answer: Ans1;    weightage: 8
question: Q6;     answer: true;    weightage: 5
question: Q7;     answer: true;    weightage: 9
question: Q8;     answer: Ans2;    weightage: 7
question: Q9;     answer: Ans2;    weightage: 6
question: Q10;     answer: Ans2;    weightage: 5
question: Q11;     answer: Ans4;    weightage: 7
question: Q12;     answer: Ans4;    weightage: 6
question: Q13;     answer: true;    weightage: 1
question: Q14;     answer: true;    weightage: 10
question: Q15;     answer: true;    weightage: 1
question: Q16;     answer: true;    weightage: 10
question: Q17;     answer: true;    weightage: 70
question: Q18;     answer: true;    weightage: 2
question: Q19;     answer: true;    weightage: 4
question: Q20;     answer: true;    weightage: 3
question: Q21;     answer: true;    weightage: 1
